t,x_1,x_2,x_3,x_4,x_5,y_1,y_2
1.35,-0.641170488503685,-0.293261210210707,-4.90327357151171,-3.50484462343398,12.0073796809988,0.293847796050877,0.393421757470277
1.375,-0.760072855857252,-0.375839457093112,-4.60942577546083,-3.1114228659637,13.9278579235002,0.337934695456762,0.42216208834634
1.4,-0.871077079142564,-0.448225959622954,-4.27149108000407,-2.68926077761736,15.2216803335447,0.366214519445389,0.423087494671642
1.425,-0.973279506378449,-0.510056402870527,-3.90527656055868,-2.26617328294572,16.0340716611597,0.382781876122806,0.40714908663984
1.45,-1.06612020263575,-0.561522967159598,-3.52249468443587,-1.85902419630588,16.4944036472796,0.391140036699565,0.382899549753087
1.475,-1.14928794198569,-0.603130367347041,-3.13135464773631,-1.47612464655279,16.693079061263,0.39366200296245,0.35571976563692
1.5,-1.22264683561711,-0.635522207956939,-2.73769264477386,-1.12040488091587,16.691314096332,0.391890360727706,0.328718995398907
1.525,-1.28618747902976,-0.659375436006723,-2.34580228404615,-0.791685885516966,16.5323278655297,0.386861187213919,0.303601317200399
1.55,-1.33999478811034,-0.675340623597206,-1.95894109683223,-0.488084568316567,16.2472973565458,0.379283903655207,0.281192736189332
1.575,-1.38422622458131,-0.684010648613033,-1.57965719317702,-0.206891832127235,15.8576816267642,0.369619302188047,0.261725856180579
1.6,-1.41909719269061,-0.685907651458358,-1.21003789098898,0.0548340240533441,15.3751111811855,0.3580887060795,0.244955883097573
1.625,-1.44487252312696,-0.681483285094258,-0.851949184909478,0.299789907150917,14.7995552453163,0.344634310593931,0.230149451394914
1.65,-1.46186442951441,-0.671130964429161,-0.507314874315547,0.529939358545832,14.1166546765271,0.328853558139718,0.215983193803998
1.675,-1.47043825591348,-0.655211530888779,-0.178461316175829,0.74592255234983,13.2962274681288,0.309956623016784,0.20042833349324
1.7,-1.47102736893102,-0.634095052261668,0.131495306840954,0.94635088584307,12.2960372155281,0.286847285907448,0.180793268295647
1.725,-1.46415671871792,-0.608219698558244,0.418342592748402,1.12714415413872,11.0766197706707,0.258472506764724,0.154210476333722
1.75,-1.45046969688242,-0.578161149918042,0.676815099513126,1.28135463047244,9.63045074154911,0.224531237202491,0.118826155853114
1.775,-1.43074507462559,-0.544691695253521,0.901346336715618,1.40018078632555,8.0172918756418,0.186357299814917,0.0755116160115872
1.8,-1.40588413277723,-0.508792836712992,1.08770363653054,1.47569240233714,6.3798865112538,0.147348128154959,0.029036536512508
1.825,-1.37685157382516,-0.471585245397094,1.23505176468549,1.50472893884965,4.90968956501377,0.112172524889074,-0.0128748846308142
1.85,-1.34457472101,-0.434172907777769,1.34722428957457,1.49185405421883,3.76420643933564,0.0847528740727623,-0.0430180095207429
1.875,-1.30983610201088,-0.39745644575653,1.43197716364733,1.44883604469809,2.99010819752076,0.066334283804524,-0.0585303653563725
1.9,-1.27320879528553,-0.362006908443063,1.49831144745185,1.39030567934172,2.5157060011304,0.0552385665149535,-0.0618663651566167
1.925,-1.23506179802869,-0.328060314763756,1.55355001396681,1.3284393141851,2.21406055561372,0.0483845771745488,-0.0583231482685824
1.95,-1.19561950951976,-0.295614387780196,1.60193459114136,1.27011616591652,1.97563206316307,0.0430831303312034,-0.0527263736758448
